,Name,Pos,Team,Opp,ETR MP,Salary,ETRProj,Value,Ceiling,Own,Site,Slate,Scenario,ID,DKName
95,Patrick Williams,SF/PF,CHI,SAS,23.5,"$3,800",19.7,-1.5,27.0,6.7%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738709,Patrick Williams
96,Jose Alvarado,PG,NOP,PHX,20.5,"$4,300",19.2,-4.0,27.1,0.3%,DK,MAIN,Default,40738641,Jose Alvarado
97,Paul Reed,C,DET,WAS,16.0,"$3,300",19.1,-0.1,26.9,7.5%,DK,MAIN,Default,40738804,Paul Reed
98,Isaac Okoro,SF,CHI,SAS,26.5,"$4,000",19.0,-3.0,25.9,4.3%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738681,Isaac Okoro
99,Ryan Dunn,SF/PF,PHX,NOP,22.0,"$4,900",19.0,-6.6,26.4,0.1%,DK,MAIN,Default,40738559,Ryan Dunn
100,Julian Champagnie,SG/SF,SAS,CHI,24.5,"$5,000",19.0,-7.0,26.0,0.0%,DK,MAIN,Default,40738544,Julian Champagnie
101,Keldon Johnson,SF/PF,SAS,CHI,20.0,"$5,400",18.8,-8.8,25.7,0.0%,DK,MAIN,Default,40738497,Keldon Johnson
102,Sion James,SG,CHA,LAL,29.0,"$3,900",18.6,-3.0,25.5,0.4%,DK,MAIN,Default,40738688,Sion James
103,Jaylon Tyson,SG/SF,CLE,MIA,22.5,"$4,900",18.6,-7.0,26.4,0.0%,DK,MAIN,Default,40738554,Jaylon Tyson
104,Jeremy Sochan,PF,SAS,CHI,20.0,"$4,600",18.3,-6.1,25.7,0.1%,DK,MAIN,Default,40738604,Jeremy Sochan
105,Klay Thompson,SG/SF,DAL,MIL,19.0,"$3,900",18.2,-3.4,25.5,0.0%,DK,MAIN,Default,40738691,Klay Thompson
106,Tristan da Silva,SF/PF,ORL,POR,22.5,"$3,900",17.7,-3.9,24.9,0.9%,DK,MAIN,Default,40738696,Tristan da Silva
107,AJ Green,SG,MIL,DAL,29.0,"$4,100",17.6,-4.8,23.7,0.2%,DK,MAIN,Default,40738657,AJ Green
108,Svi Mykhailiuk,SG/SF,UTA,MIN,25.0,"$4,600",17.3,-7.1,24.3,0.1%,DK,MAIN,Default,40738599,Svi Mykhailiuk
109,Dru Smith,PG/SG,MIA,CLE,18.0,"$3,700",17.2,-3.6,24.8,1.6%,DK,MAIN,Default,40738730,Dru Smith
110,Simone Fontecchio,SF/PF,MIA,CLE,18.0,"$3,500",16.9,-3.1,24.2,2.3%,DK,MAIN,Default,40738770,Simone Fontecchio
111,Goga Bitadze,C,ORL,POR,16.0,"$3,800",16.7,-4.5,24.2,0.3%,DK,MAIN,Default,40738721,Goga Bitadze
112,Sam Merrill,SG,CLE,MIA,20.5,"$4,400",16.6,-7.0,23.4,0.0%,DK,MAIN,Default,40738625,Sam Merrill
113,Cam Whitmore,PF,WAS,DET,17.0,"$3,500",16.3,-3.7,24.2,0.3%,DK,MAIN,Default,40738782,Cam Whitmore
114,Mike Conley,PG,MIN,UTA,18.0,"$4,400",16.2,-7.4,23.3,0.0%,DK,MAIN,Default,40738632,Mike Conley
115,Marvin Bagley III,C,WAS,DET,15.0,"$3,300",16.0,-3.2,23.5,0.3%,DK,MAIN,Default,40738806,Marvin Bagley III
116,Ace Bailey,SG,UTA,MIN,19.5,"$4,300",15.7,-7.5,23.0,0.0%,DK,MAIN,Default,40738644,Ace Bailey
117,Kevon Looney,C,NOP,PHX,15.0,"$3,700",15.6,-5.2,22.8,0.2%,DK,MAIN,Default,40738734,Kevon Looney
118,Corey Kispert,SG/SF,WAS,DET,20.0,"$3,700",15.5,-5.3,22.5,0.2%,DK,MAIN,Default,40738741,Corey Kispert
119,Daniss Jenkins,PG,DET,WAS,15.5,"$3,100",15.0,-3.4,22.6,2.2%,DK,MAIN,Default,40738871,Daniss Jenkins
120,Luke Kornet,C,SAS,CHI,14.0,"$4,500",14.7,-9.3,21.9,0.0%,DK,MAIN,Default,40738619,Luke Kornet
121,Dean Wade,SF/PF,CLE,MIA,19.5,"$4,100",14.6,-7.8,21.3,0.0%,DK,MAIN,Default,40738664,Dean Wade
122,Jarred Vanderbilt,PF,LAL,CHA,16.0,"$4,700",14.0,-10.8,21.7,0.0%,DK,MAIN,Default,40738590,Jarred Vanderbilt
123,Bobi Klintman,SF/PF,DET,WAS,16.0,"$3,200",13.9,-4.9,21.1,1.1%,DK,MAIN,Default,40738847,Bobi Klintman
124,Justin Champagnie,SF/PF,WAS,DET,15.0,"$3,700",13.9,-6.9,21.3,0.1%,DK,MAIN,Default,40738726,Justin Champagnie
125,Jordan Hawkins,SG/SF,NOP,PHX,17.5,"$3,400",13.8,-5.8,20.8,0.3%,DK,MAIN,Default,40738785,Jordan Hawkins
126,Kris Murray,SG/SF,POR,ORL,20.5,"$3,600",13.3,-7.1,20.5,0.1%,DK,MAIN,Default,40738752,Kris Murray
127,KJ Simpson,PG,CHA,LAL,14.5,"$3,800",13.2,-8.0,20.7,0.0%,DK,MAIN,Default,40738723,KJ Simpson
128,Moussa Cisse,C,DAL,MIL,16.0,"$4,100",12.4,-10.0,19.5,0.0%,DK,MAIN,Default,40738668,Moussa Cisse
129,Brice Sensabaugh,SG/SF,UTA,MIN,13.0,"$3,800",12.2,-9.0,19.4,0.0%,DK,MAIN,Default,40738716,Brice Sensabaugh
130,Jaxson Hayes,C,LAL,CHA,14.0,"$3,200",12.0,-6.8,19.0,0.0%,DK,MAIN,Default,40738838,Jaxson Hayes
131,Jaylen Clark,SG/SF,MIN,UTA,17.0,"$3,300",12.0,-7.2,19.0,0.0%,DK,MAIN,Default,40738820,Jaylen Clark
132,Jordan Goodwin,PG/SG,PHX,NOP,13.5,"$3,200",11.7,-7.1,19.5,0.0%,DK,MAIN,Default,40738843,Jordan Goodwin
133,Isaac Jones,C,DET,WAS,13.5,"$3,000",11.6,-6.4,18.7,0.0%,DK,MAIN,Default,40739021,Isaac Jones
134,Walter Clayton Jr.,PG,UTA,MIN,13.0,"$3,500",11.5,-8.5,18.9,0.0%,DK,MAIN,Default,40738774,Walter Clayton Jr.
135,Rob Dillingham,PG,MIN,UTA,12.5,"$3,100",11.3,-7.1,18.9,0.0%,DK,MAIN,Default,40738876,Rob Dillingham
136,Chaz Lanier,SG,DET,WAS,14.0,"$3,000",11.1,-6.9,18.3,0.0%,DK,MAIN,Default,40739016,Chaz Lanier
137,Nick Richards,C,PHX,NOP,10.0,"$3,600",10.9,-9.5,18.0,0.0%,DK,MAIN,Default,40738764,Nick Richards
138,Taylor Hendricks,PF,UTA,MIN,14.5,"$3,800",10.9,-10.3,17.7,0.0%,DK,MAIN,Default,40738713,Taylor Hendricks
139,Micah Peavy,SG/SF,NOP,PHX,14.5,"$3,200",10.7,-8.1,17.7,0.0%,DK,MAIN,Default,40738828,Micah Peavy
140,Robert Williams,C,POR,ORL,10.5,"$3,100",10.5,-7.9,17.7,0.0%,DK,MAIN,Default,40738874,Robert Williams
141,Tyus Jones,PG,ORL,POR,14.0,"$3,000",10.4,-7.6,17.5,0.1%,DK,MAIN,Default,40738895,Tyus Jones
142,Sidy Cissoko,SG,POR,ORL,13.5,"$3,100",10.0,-8.4,16.8,0.0%,DK,MAIN,Default,40738860,Sidy Cissoko
143,Noah Penda,SF/PF,ORL,POR,11.5,"$3,000",9.6,-8.4,16.7,0.0%,DK,MAIN,Default,40738963,Noah Penda
144,Pat Connaughton,SG/SF,CHA,LAL,12.0,"$3,200",9.2,-9.6,15.9,0.0%,DK,MAIN,Default,40738833,Pat Connaughton
145,Jonathan Isaac,PF/C,ORL,POR,8.5,"$3,200",8.8,-10.0,16.0,0.0%,DK,MAIN,Default,40738851,Jonathan Isaac
146,Liam McNeeley,SF/PF,CHA,LAL,13.0,"$3,300",8.6,-10.6,15.5,0.0%,DK,MAIN,Default,40738811,Liam McNeeley
147,Dalton Knecht,SG/SF,LAL,CHA,12.0,"$4,000",8.6,-13.4,15.5,0.0%,DK,MAIN,Default,40738673,Dalton Knecht
148,Amir Coffey,SG/SF,MIL,DAL,14.0,"$3,100",8.2,-10.2,14.6,0.0%,DK,MAIN,Default,40738855,Amir Coffey
