"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Emmett Johnson","RB","KC","IND","4.7","4.1","4.7","3.5","4.1","4.7","11.3","10.2","Sunday"
"Ted Hurst","WR","TB","CLE","4.7","4.0","4.7","3.2","3.9","4.7","11.8","10.3","Main"
"Andrei Iosivas","WR","CIN","@HOU","4.6","3.9","4.6","3.1","3.8","4.6","11.3","9.8","Main"
"Jonah Coleman","RB","DEN","JAX","4.6","4.1","4.6","3.6","4.1","4.6","10.9","10.1","Main"
"NO DST","DST","NO","@BAL","4.6","4.6","5.3","4.6","4.6","4.6","11.5","11.5","Main"
"Germie Bernard","WR","PIT","@NE","4.5","3.6","4.4","2.7","3.6","4.4","10.7","9.0","Main"
"Darnell Washington","TE","PIT","@NE","4.5","3.6","5.4","2.7","3.6","4.5","10.5","8.7","Main"
"WAS DST","DST","WAS","@DAL","4.5","4.5","5.2","4.5","4.5","4.5","11.5","11.5","Main"
"Calvin Ridley","WR","TEN","PHI","4.4","3.6","4.4","2.8","3.6","4.4","10.6","9.0","Main"
"Dawson Knox","TE","BUF","DET","4.3","3.5","5.0","2.7","3.5","4.3","10.7","9.2","Thursday"
"Cole Kmet","TE","CHI","MIN","4.3","3.5","5.1","2.7","3.5","4.3","10.7","9.2","Main"
"Isaiah Williams","WR","NYJ","GB","4.3","3.3","4.3","2.4","3.3","4.3","10.1","8.3","Main"
"Keon Coleman","WR","BUF","DET","4.2","3.5","4.1","2.8","3.5","4.1","11.1","9.7","Thursday"
"John Bates","TE","WAS","@DAL","4.2","3.3","5.0","2.5","3.3","4.2","10.0","8.3","Main"
"Jonnu Smith","TE","GB","@NYJ","4.1","3.3","5.0","2.4","3.3","4.1","9.9","8.3","Main"
"NYG DST","DST","NYG","@LA","4.1","4.1","4.7","4.1","4.1","4.1","10.8","10.8","Monday"
"Noah Fant","TE","NO","@BAL","4.0","3.1","4.9","2.2","3.1","4.0","9.3","7.6","Main"
"Josh Oliver","TE","MIN","@CHI","3.9","3.1","4.7","2.3","3.1","3.9","9.7","8.2","Main"
"DET DST","DST","DET","@BUF","3.9","3.9","4.6","3.9","3.9","3.9","10.7","10.7","Thursday"
"Tommy Tremble","TE","CAR","@ATL","3.8","3.0","4.6","2.2","3.0","3.8","9.4","7.9","Main"
"Sione Vaki","RB","DET","@BUF","3.8","3.3","3.8","2.8","3.3","3.7","9.7","8.7","Thursday"
"Elic Ayomanor","WR","TEN","PHI","3.7","3.0","3.7","2.4","3.0","3.7","9.6","8.2","Main"
"MIA DST","DST","MIA","@SF","3.7","3.7","4.3","3.7","3.7","3.7","10.4","10.4","Main"
"Noah Gray","TE","KC","IND","3.6","2.9","4.3","2.2","2.9","3.6","9.2","7.8","Sunday"
"Theo Johnson","TE","NYG","@LA","3.6","2.9","4.3","2.2","2.9","3.6","9.0","7.5","Monday"
"Ben Sinnott","TE","WAS","@DAL","3.6","2.9","4.3","2.2","2.9","3.6","9.1","7.7","Main"
"Tyler Badie","RB","DEN","JAX","3.5","2.6","3.5","1.8","2.6","3.4","8.7","7.0","Main"
"Chris Moore","WR","BAL","NO","3.4","2.9","3.4","2.4","2.9","3.4","9.5","8.3","Main"
"Raheim Sanders","RB","CLE","@TB","3.3","2.7","3.3","2.0","2.7","3.3","8.3","7.0","Main"
"Troy Franklin","WR","DEN","JAX","3.3","2.7","3.2","2.1","2.7","3.2","8.9","7.7","Main"
"Mike Washington","RB","LV","@LAC","3.3","3.2","3.3","3.0","3.1","3.3","8.3","8.1","Main"
"Oronde Gadsden","TE","LAC","LV","3.2","2.6","3.7","2.0","2.6","3.2","8.7","7.4","Main"
"Tyler Higbee","TE","LA","NYG","3.1","2.5","3.7","1.9","2.5","3.1","8.3","7.0","Monday"
"DeeJay Dallas","RB","MIN","@CHI","3.1","2.7","3.1","2.3","2.7","3.1","8.4","7.6","Main"
"Olamide Zaccheaus","WR","ATL","CAR","3.0","2.4","3.0","1.7","2.4","3.0","7.8","6.4","Main"
"Durham Smythe","TE","BAL","NO","3.0","2.4","3.6","1.8","2.4","3.0","8.0","6.7","Main"
"Joshua Palmer","WR","BUF","DET","3.0","2.5","3.0","2.0","2.5","3.0","8.7","7.6","Thursday"
"Foster Moreau","TE","HOU","CIN","3.0","2.5","3.6","1.9","2.5","3.0","8.4","7.1","Main"
"Tai Felton","WR","MIN","@CHI","3.0","2.4","3.0","1.8","2.4","3.0","8.2","6.9","Main"
"Kyle Williams","WR","NE","PIT","3.0","2.5","3.0","2.0","2.5","3.0","8.7","7.5","Main"
"Drew Sample","TE","CIN","@HOU","2.8","2.1","3.5","1.5","2.1","2.8","7.3","5.8","Main"
"Adam Trautman","TE","DEN","JAX","2.8","2.2","3.3","1.7","2.2","2.8","7.7","6.4","Main"
"Jared Wayne","WR","HOU","CIN","2.8","2.3","2.8","1.8","2.3","2.8","8.0","6.8","Main"
"Charlie Kolar","TE","LAC","LV","2.8","2.3","3.3","1.8","2.3","2.8","7.9","6.8","Main"
"Emari Demercado","RB","DAL","WAS","2.7","2.5","2.7","2.4","2.5","2.7","7.8","7.5","Main"
"Elijah Arroyo","TE","SEA","@ARI","2.7","2.2","3.3","1.7","2.2","2.7","7.6","6.4","Main"
"KaVontae Turpin","WR","DAL","WAS","2.6","2.3","2.6","1.9","2.3","2.6","7.5","6.6","Main"
"Brevyn Spann-Ford","TE","DAL","WAS","2.6","2.1","3.2","1.6","2.1","2.6","7.5","6.3","Main"
"Kevin Coleman","WR","MIA","@SF","2.6","2.1","2.6","1.6","2.1","2.5","7.3","6.2","Main"
"Will Shipley","RB","PHI","@TEN","2.6","2.2","2.6","1.7","2.2","2.6","7.5","6.4","Main"
"Luke Farrell","TE","SF","MIA","2.5","2.0","3.1","1.5","2.0","2.5","7.2","6.0","Main"
"Dyami Brown","WR","WAS","@DAL","2.5","2.0","2.5","1.5","2.0","2.5","7.2","6.1","Main"
"Frank Gore","RB","BUF","DET","2.2","1.9","2.2","1.5","1.9","2.2","6.8","5.9","Thursday"
"Hunter Luepke","RB","DAL","WAS","2.2","1.8","2.2","1.4","1.8","2.1","6.5","5.5","Main"
"Kyle Juszczyk","RB","SF","MIA","2.2","1.7","2.1","1.3","1.7","2.1","6.5","5.5","Main"
"Mitchell Evans","TE","CAR","@ATL","2.1","1.7","2.5","1.3","1.7","2.1","6.3","5.2","Main"
"Demond Claiborne","RB","MIN","@CHI","2.1","2.0","2.1","1.8","2.0","2.1","6.4","6.0","Main"
"Eli Raridon","TE","NE","PIT","2.1","1.7","2.6","1.3","1.7","2.1","6.4","5.4","Main"
"Matt Hibner","TE","BAL","NO","2.0","1.6","2.4","1.2","1.6","2.0","6.2","5.1","Main"
"Ray Davis","RB","BUF","DET","2.0","1.8","2.0","1.6","1.8","2.0","6.4","5.9","Thursday"
"Cade Stover","TE","HOU","CIN","2.0","1.6","2.4","1.2","1.6","2.0","6.0","5.0","Main"
"Nate Boerkircher","TE","JAX","@DEN","2.0","1.6","2.4","1.2","1.6","2.0","5.9","4.8","Main"
"Blake Whiteheart","TE","CLE","@TB","1.9","1.5","2.3","1.1","1.5","1.9","5.5","4.4","Main"
"Brock Wright","TE","DET","@BUF","1.9","1.5","2.4","1.1","1.5","1.9","5.7","4.5","Thursday"
"Seth McGowan","RB","IND","@KC","1.9","1.7","1.9","1.5","1.7","1.9","5.9","5.4","Sunday"
"Travis Hunter","WR","JAX","@DEN","1.9","1.5","1.9","1.2","1.5","1.9","5.7","4.9","Main"
"Tutu Atwell","WR","LA","NYG","1.9","1.6","1.9","1.3","1.6","1.9","6.3","5.4","Monday"
"Davis Allen","TE","LA","NYG","1.9","1.5","2.2","1.1","1.5","1.9","5.9","4.9","Monday"
"Josh Cameron","WR","JAX","@DEN","1.8","1.5","1.8","1.1","1.5","1.8","5.8","4.9","Main"
"Emanuel Wilson","RB","SEA","@ARI","1.8","1.8","1.8","1.7","1.7","1.8","6.3","6.2","Main"
"Sean Tucker","RB","TB","CLE","1.8","1.8","1.8","1.7","1.7","1.8","6.2","6.1","Main"
"Zachariah Branch","WR","ATL","CAR","1.7","1.4","1.7","1.1","1.4","1.7","5.4","4.5","Main"
"Mo Alie-Cox","TE","IND","@KC","1.7","1.3","2.1","1.0","1.3","1.7","5.3","4.3","Sunday"
"Kaytron Allen","RB","WAS","@DAL","1.7","1.7","1.7","1.7","1.7","1.7","5.8","5.7","Main"
"Erick All","TE","CIN","@HOU","1.6","1.3","2.0","0.9","1.3","1.6","5.0","4.1","Main"
"Tank Bigsby","RB","PHI","@TEN","1.6","1.5","1.6","1.5","1.5","1.6","5.4","5.2","Main"
"Tory Horton","WR","SEA","@ARI","1.6","1.4","1.6","1.1","1.4","1.6","5.6","4.8","Main"
"Daniel Bellinger","TE","TEN","PHI","1.6","1.2","1.9","0.9","1.2","1.6","4.9","4.0","Main"
"Treylon Burks","WR","WAS","@DAL","1.6","1.3","1.6","1.0","1.3","1.6","5.4","4.6","Main"
"Dohnte Meyers","WR","CIN","@HOU","1.5","1.2","1.5","1.0","1.2","1.5","4.9","4.2","Main"
"Laquon Treadwell","WR","IND","@KC","1.5","1.2","1.5","0.9","1.2","1.5","4.8","3.9","Sunday"
"Charlie Woerner","TE","ATL","CAR","1.4","1.1","1.7","0.7","1.1","1.4","4.5","3.5","Main"
"Jahdae Walker","WR","CHI","MIN","1.4","1.1","1.4","0.9","1.1","1.4","4.9","4.2","Main"
"Lil'Jordan Humphrey","WR","DEN","JAX","1.4","1.2","1.4","0.9","1.2","1.4","4.9","4.2","Main"
"Malik Benson","WR","LV","@LAC","1.4","1.2","1.4","0.9","1.2","1.4","4.7","4.0","Main"
"Odell Beckham","WR","NYG","@LA","1.4","1.2","1.4","0.9","1.2","1.4","4.9","4.2","Monday"
"Ben Skowronek","WR","PIT","@NE","1.4","1.1","1.4","0.8","1.1","1.4","4.7","3.9","Main"
"Austin Hooper","TE","ATL","CAR","1.3","1.1","1.6","0.8","1.1","1.3","4.6","3.8","Main"
"Jackson Hawes","TE","BUF","DET","1.3","1.1","1.6","0.9","1.1","1.3","4.8","4.0","Thursday"
"Bo Melton","WR","GB","@NYJ","1.3","1.1","1.3","1.0","1.1","1.3","4.8","4.1","Main"
"CJ Donaldson","RB","NO","@BAL","1.3","1.2","1.3","1.0","1.1","1.3","4.4","3.9","Main"
"Jaleel McLaughlin","RB","CLE","@TB","1.2","1.0","1.2","0.8","1.0","1.1","3.8","3.2","Main"
"Jonathan Mingo","WR","DAL","WAS","1.2","1.0","1.2","0.8","1.0","1.2","4.3","3.6","Main"
"LeQuint Allen","RB","JAX","@DEN","1.2","0.9","1.2","0.7","0.9","1.2","4.0","3.3","Main"
"Dylan Laube","RB","LV","@LAC","1.2","0.9","1.2","0.7","0.9","1.2","3.9","3.1","Main"
"Jeremy Ruckert","TE","NYJ","GB","1.2","1.0","1.5","0.7","1.0","1.2","4.1","3.3","Main"
"Colson Yankoff","TE","WAS","@DAL","1.2","0.9","1.4","0.7","0.9","1.2","4.0","3.3","Main"
"Luke Schoonmaker","TE","DAL","WAS","1.1","0.9","1.3","0.7","0.9","1.1","4.1","3.4","Main"
"Connor Heyward","TE","LV","@LAC","1.1","0.9","1.3","0.7","0.9","1.1","3.8","3.2","Main"
"Ollie Gordon","RB","MIA","@SF","1.0","0.9","1.0","0.8","0.9","1.0","3.6","3.4","Main"
"Elijah Higgins","TE","ARI","SEA","0.9","0.7","1.1","0.5","0.7","0.9","3.2","2.5","Main"
"Hunter Long","TE","ARI","SEA","0.9","0.7","1.1","0.5","0.7","0.9","3.2","2.5","Main"
"Isaiah Bond","WR","CLE","@TB","0.9","0.7","0.9","0.6","0.7","0.9","3.6","2.9","Main"
"Kaleb Johnson","RB","GB","@NYJ","0.9","0.9","0.9","0.9","0.9","0.9","3.4","3.4","Main"
"Quintin Morris","TE","JAX","@DEN","0.9","0.7","1.0","0.5","0.7","0.9","3.3","2.6","Main"
"Kimani Vidal","RB","LAC","LV","0.9","0.8","0.9","0.7","0.8","0.9","3.3","3.1","Main"
"Brenen Thompson","WR","LAC","LV","0.9","0.8","0.9","0.6","0.8","0.9","3.5","3.0","Main"
"Jaylen Wright","RB","MIA","@SF","0.9","0.9","0.9","0.8","0.8","0.9","3.3","3.1","Main"
"Johnny Mundt","TE","PHI","@TEN","0.9","0.7","1.1","0.5","0.7","0.9","3.4","2.7","Main"
"Brycen Tremayne","WR","CAR","@ATL","0.8","0.6","0.8","0.5","0.6","0.8","3.2","2.6","Main"
"Lewis Bond","WR","HOU","CIN","0.8","0.6","0.8","0.5","0.6","0.8","3.1","2.5","Main"
"Derius Davis","WR","LAC","LV","0.8","0.6","0.8","0.5","0.6","0.8","3.1","2.5","Main"
"Tyrone Tracy","RB","NYG","@LA","0.8","0.7","0.8","0.6","0.7","0.8","2.9","2.7","Monday"
"Jordan James","RB","SF","MIA","0.8","0.8","0.8","0.7","0.8","0.8","3.1","2.9","Main"
"Brady Russell","RB","SEA","@ARI","0.8","0.6","0.8","0.4","0.6","0.8","3.0","2.2","Main"
"Chimere Dike","WR","TEN","PHI","0.8","0.7","0.8","0.5","0.7","0.8","3.2","2.6","Main"
"John Metchie","WR","CAR","@ATL","0.7","0.6","0.7","0.4","0.6","0.7","2.6","2.2","Main"
"Nate Adkins","TE","DEN","JAX","0.7","0.6","0.9","0.4","0.6","0.7","3.0","2.4","Main"
"Cyrus Allen","WR","KC","IND","0.7","0.5","0.7","0.4","0.5","0.7","2.6","2.2","Sunday"
"Will Kacmarek","TE","MIA","@SF","0.7","0.5","0.8","0.4","0.5","0.7","2.7","2.1","Main"
"Jaylin Lane","WR","WAS","@DAL","0.7","0.5","0.7","0.4","0.5","0.7","2.6","2.2","Main"
"Sam Roush","TE","CHI","MIN","0.6","0.5","0.7","0.4","0.5","0.6","2.4","2.0","Main"
"Colbie Young","WR","CIN","@HOU","0.6","0.5","0.6","0.4","0.5","0.6","2.4","2.0","Main"
"Josh Whyle","TE","GB","@NYJ","0.6","0.5","0.7","0.3","0.5","0.6","2.4","1.9","Main"
"Marlin Klein","TE","HOU","CIN","0.6","0.5","0.7","0.4","0.5","0.6","2.5","2.1","Main"
"Cody White","WR","LV","@LAC","0.6","0.5","0.6","0.4","0.5","0.6","2.5","2.0","Main"
"CJ Daniels","WR","LA","NYG","0.6","0.5","0.6","0.4","0.5","0.6","2.3","1.9","Monday"
"DJ Herman","RB","MIA","@SF","0.6","0.5","0.6","0.3","0.5","0.6","2.2","1.8","Main"
"Eric Saubert","TE","SEA","@ARI","0.6","0.5","0.7","0.3","0.5","0.6","2.4","1.9","Main"
"Tez Johnson","WR","TB","CLE","0.6","0.5","0.6","0.5","0.5","0.6","2.6","2.2","Main"
"Elijah Sarratt","WR","BAL","NO","0.5","0.4","0.5","0.3","0.4","0.5","1.9","1.6","Main"
"Adam Prentice","RB","DEN","JAX","0.5","0.4","0.5","0.4","0.4","0.5","2.0","1.7","Main"
"Jacob Saylors","RB","DET","@BUF","0.5","0.5","0.5","0.5","0.5","0.5","2.0","2.0","Thursday"
"Skyy Moore","WR","GB","@NYJ","0.5","0.5","0.5","0.4","0.5","0.5","2.2","1.9","Main"
"Myles Price","WR","MIN","@CHI","0.5","0.4","0.5","0.3","0.4","0.5","2.0","1.6","Main"
"Efton Chism","WR","NE","PIT","0.5","0.4","0.5","0.4","0.4","0.5","2.2","1.8","Main"
"Kevin Austin","WR","NO","@BAL","0.5","0.4","0.5","0.3","0.4","0.5","2.1","1.7","Main"
"Patrick Ricard","RB","NYG","@LA","0.5","0.4","0.5","0.3","0.4","0.5","2.2","1.7","Monday"
"Braxton Berrios","WR","NYG","@LA","0.5","0.4","0.5","0.3","0.4","0.5","1.9","1.5","Monday"
"Isaiah Davis","RB","NYJ","GB","0.5","0.4","0.5","0.4","0.4","0.5","2.0","1.7","Main"
"Darius Cooper","WR","PHI","@TEN","0.5","0.4","0.5","0.3","0.4","0.5","2.0","1.6","Main"
"Rasheen Ali","RB","BAL","NO","0.4","0.4","0.4","0.4","0.4","0.4","1.5","1.5","Main"
"Josh Cuevas","TE","BAL","NO","0.4","0.3","0.5","0.3","0.3","0.4","1.6","1.3","Main"
