,Name,Salary,Pos,RW_Proj,ETRProj,Ceiling,Value,Value_adj,BaseMix,CeilAdj,PosBump,NewProj,ID,Name + ID,TeamAbbrev,Position,Game Info,Unnamed: 0,Team,OPP,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,DK_Base,Prob_DD,Prob_TD,DK_Bonus,ETR MP,Own,CeilZ,LastUpdate
30,Myles Turner,5800.0,C,32.67817847175859,29.5,36.6,0.3,0.26,29.81781784717586,0.7938793895174557,0.024213654882098024,30.64,40600097.0,Myles Turner (40600097),MIL,C,GSW@MIL 10/30/2025 08:00PM ET,121.0,MIL,GSW,30.0,14.77202,7.33959,1.85991,0.68232,2.15008,1.63271,5.42508,10.40709,52.1,1.73125,4.90622,35.3,2.19061,2.72015,80.5,1.74997,5.58962,32.4504425,0.15084093200058726,0.0004915245859037873,0.22773597175859228,29.0,10.8%,1.3231323158624262,2025-10-30 18:30:42
31,Brandin Podziemski,5800.0,G,31.410253472317933,22.5,29.9,-6.7,-6.82,23.391025347231796,-0.11194348339926016,-0.00940481900941004,23.27,40600099.0,Brandin Podziemski (40600099),GSW,SG,GSW@MIL 10/30/2025 08:00PM ET,92.0,GSW,MIL,30.0,14.78388,6.17302,3.51416,1.37705,0.27491,1.88289,5.36749,11.54469,46.5,2.26599,5.77622,39.2,1.7829,2.34492,76.0,1.25881,4.91421,31.266865,0.0931561977963927,0.0012180585411154666,0.14338847231793544,24.5,0.2%,-0.18657247233210028,2025-10-30 18:30:42
32,Khris Middleton,5600.0,F,27.940807654802605,21.9,29.7,-6.5,-6.38,22.50408076548026,-0.13898297214304262,0.04836337257663591,22.41,40600102.0,Khris Middleton (40600102),WAS,PF,WAS@OKC 10/30/2025 08:00PM ET,80.0,WAS,OKC,29.0,14.05679,5.08716,3.47187,1.01432,0.22802,1.89511,5.00773,10.60353,47.2,1.40711,3.88907,36.2,2.63423,3.20954,82.1,0.77128,4.31587,27.864225,0.04992947094198515,0.0005628161298750221,0.07658265480260279,23.5,0.3%,-0.23163828690507102,2025-10-30 18:30:42
33,Jaime Jaquez Jr.,5400.0,F,28.132240703145108,29.6,37.7,2.0,1.78,29.453224070314512,0.9425965776082599,0.08290863870280443,30.48,40600105.0,Jaime Jaquez Jr. (40600105),MIA,SF/PF,MIA@SAS 10/30/2025 08:30PM ET,60.0,MIA,SAS,27.0,13.80293,5.63122,3.25083,1.09329,0.18494,1.63009,4.87516,10.49891,46.4,1.15098,3.28124,35.1,2.90162,3.40829,85.1,0.91034,4.72088,28.035104999999994,0.06344711181839399,0.000655011805841192,0.09713570314511456,28.5,50.8%,1.5709942960137666,2025-10-30 18:30:42
34,Aaron Wiggins,5500.0,F,27.87477993775067,29.2,37.0,1.2,1.16,29.067477993775064,0.8479583670050206,0.07599958547757073,29.99,40600109.0,Aaron Wiggins (40600109),OKC,SF/PF,WAS@OKC 10/30/2025 08:00PM ET,132.0,OKC,WAS,29.0,15.04354,5.62304,2.1667,0.82553,0.26084,1.39202,5.57027,12.06471,46.2,1.96453,5.71378,34.4,1.93846,2.37287,81.7,1.31149,4.31155,27.781385,0.06174157830677466,0.00026085676350274075,0.09339493775067022,28.0,39.2%,1.4132639450083677,2025-10-30 18:30:42
35,Ryan Rollins,5500.0,G,30.25317593569795,25.2,33.6,-2.8,-2.78,25.705317593569795,0.3882870583607174,-0.02821445702823012,26.07,40600113.0,Ryan Rollins (40600113),MIL,PG,GSW@MIL 10/30/2025 08:00PM ET,103.0,MIL,GSW,30.0,13.01162,4.32221,4.70177,2.06713,0.47749,2.12625,4.70202,9.60907,48.9,1.37098,4.18038,32.8,2.23659,2.57601,86.8,1.37979,2.94242,30.178642500000006,0.04812469153053787,0.000782132800713007,0.07453343569794582,28.5,5.9%,0.6471450972678624,2025-10-30 18:30:42
36,Bilal Coulibaly,5500.0,F,21.770470020894717,17.9,25.6,-10.1,-10.01,18.287047002089473,-0.6932924913905847,0.006909053225233711,17.6,40600116.0,Bilal Coulibaly (40600116),WAS,SF,WAS@OKC 10/30/2025 08:00PM ET,31.0,WAS,OKC,24.0,9.47686,4.84256,2.14608,0.99301,0.64063,1.3694,3.30849,7.67176,43.1,0.81042,2.52164,32.1,2.04945,2.84568,72.0,1.18124,3.66132,21.73697,0.02215723352439863,8.805686937297973e-05,0.03350002089471688,22.5,0.0%,-1.1554874856509745,2025-10-30 18:30:42
37,Jalen Suggs,5600.0,G,6.181736613850029e-05,,,,,,0.0,,,40600119.0,Jalen Suggs (40600119),ORL,PG,ORL@CHA 10/30/2025 07:00PM ET,117.0,ORL,CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
38,Dylan Harper,5400.0,G,23.47243682221631,29.5,37.6,1.9,2.0,28.89724368222163,0.9290768332363684,-0.0470240950470502,29.78,40600122.0,Dylan Harper (40600122),SAS,PG/SG,MIA@SAS 10/30/2025 08:30PM ET,46.0,SAS,MIA,26.0,12.7662,3.7436,2.96526,0.86393,0.27915,2.741,4.42466,10.03964,44.1,1.26815,3.61096,35.1,2.64874,3.33987,79.3,0.80707,2.93653,23.443324999999994,0.01916913187192959,0.00011937480280711567,0.02911182221631573,26.0,39.9%,1.5484613887272807,2025-10-30 18:30:42
39,Wendell Carter Jr.,5300.0,C,30.878331887723192,27.5,34.6,0.3,0.27,27.837833188772322,0.5234845020796302,0.016142436588065346,28.38,40600126.0,Wendell Carter Jr. (40600126),ORL,C,ORL@CHA 10/30/2025 07:00PM ET,22.0,ORL,CHA,31.0,13.36716,9.40432,2.17174,0.55932,0.73581,2.29798,4.82924,9.40803,51.3,1.18944,3.51839,33.8,2.51925,3.71338,67.8,2.30693,7.09739,30.416159999999998,0.3053914567654363,0.0013615675250130323,0.4621718877231935,29.0,19.5%,0.872474170132717,2025-10-30 18:30:42
