,Player,Week,FPts,xFP,Diff
3315,Tyler Warren,4,18.3,12.55,5.75
1126,Emanuel Wilson,11,13.9,8.15,5.75
225,Ben Sinnott,10,7.4,1.66,5.74
255,Blake Corum,2,10.4,4.68,5.72
799,Darius Slayton,10,12.9,7.19,5.71
968,Derrick Henry,11,23.2,17.5,5.7
1196,George Kittle,8,14.3,8.61,5.69
1399,Jackson Hawes,3,7.5,1.82,5.68
2115,Kimani Vidal,6,25.8,20.13,5.67
1080,Elic Ayomanor,3,13.8,8.13,5.67
218,Bam Knight,11,14.5,8.83,5.67
2482,Mitchell Evans,5,7.4,1.75,5.65
1179,Geno Smith,1,21.48,15.83,5.65
1626,Jayden Daniels,6,23.64,18.01,5.63
2875,Savion Williams,8,7.9,2.27,5.63
3078,Tory Horton,5,12.9,7.27,5.63
712,DK Metcalf,3,12.2,6.57,5.63
333,Brevyn Spann-Ford,12,7.4,1.78,5.62
1464,Jake Tonges,1,10.5,4.88,5.62
2685,Rachaad White,2,14.6,9.0,5.6
1467,Jake Tonges,4,14.8,9.21,5.59
1588,Jauan Jennings,9,14.1,8.52,5.58
1647,Jaylen Waddle,3,14.9,9.33,5.57
1055,Dyami Brown,2,17.6,12.04,5.56
2919,Stefon Diggs,9,12.8,7.25,5.55
1438,Jahmyr Gibbs,4,17.7,12.15,5.55
2688,Rachaad White,5,23.1,17.58,5.52
2936,TJ Hockenson,3,15.9,10.39,5.51
3119,Tre Harris,8,8.8,3.3,5.5
2628,Patrick Mahomes,1,26.02,20.52,5.5
2126,Konata Mumpfield,7,7.5,2.0,5.5
2881,Scott Matlock,9,7.2,1.71,5.49
1448,Jake Browning,2,20.74,15.25,5.49
2038,Keenan Allen,2,17.1,11.62,5.48
2281,Mack Hollins,4,7.4,1.92,5.48
1250,Harold Fannin,5,11.3,5.83,5.47
468,Carson Wentz,4,26.2,20.74,5.46
1884,Josh Whyle,11,7.2,1.74,5.46
869,Davis Allen,10,8.8,3.36,5.44
148,Andrew Ogletree,12,8.8,3.36,5.44
824,Davante Adams,4,15.6,10.17,5.43
1470,Jake Tonges,8,7.2,1.77,5.43
326,Brenton Strange,12,14.3,8.88,5.42
2825,Ryan Flournoy,11,7.2,1.78,5.42
887,De'Von Achane,2,26.2,20.79,5.41
852,David Njoku,8,13.7,8.29,5.41
1802,Jordan Addison,8,11.6,6.2,5.4
1129,Emari Demercado,4,10.1,4.7,5.4
2007,Kareem Hunt,3,11.4,6.01,5.39
3451,Zach Charbonnet,12,9.5,4.11,5.39
2185,Kyren Williams,5,32.1,26.72,5.38
547,Chris Moore,6,13.6,8.24,5.36
3416,Xavier Legette,5,11.1,5.74,5.36
1048,Drew Sample,3,10.0,4.65,5.35
2403,Matthew Stafford,5,29.56,24.21,5.35
492,CeeDee Lamb,11,17.6,12.26,5.34
1391,Jack Stoll,3,10.1,4.76,5.34
971,Devaughn Vele,2,7.3,1.96,5.34
1974,Juwan Johnson,9,12.1,6.77,5.33
2133,Kyle Juszczyk,3,7.1,1.77,5.33
1436,Jahmyr Gibbs,2,19.4,14.08,5.32
829,Davante Adams,10,19.7,14.38,5.32
2550,Noah Fant,9,10.8,5.5,5.3
418,Caleb Williams,1,24.2,18.91,5.29
1138,Emeka Egbuka,4,23.1,17.82,5.28
450,Cam Skattebo,3,24.1,18.83,5.27
873,Davis Mills,10,28.68,23.41,5.27
927,DeVonta Smith,10,16.9,11.63,5.27
2603,Parker Washington,5,9.6,4.34,5.26
1403,Jackson Hawes,10,9.6,4.34,5.26
