,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
490,556483,DEN,LAC,RB,Michael Burton,,0.0,,,,,,0,0,-10.75,4000,,21607,556483
491,1222835,SF,ARI,WR,Jordan Watkins,,0.0,,,,4.3,,0,0,-8.75,3000,,8228969,1222835
492,1213727,CHI,DAL,WR,Rome Odunze,13.36,4.86,,,,21.5,6.3,0,0,0.01,5300,,6227815,1213727
493,832220,HOU,JAX,WR,Justin Watson,2.15,1.93,,,,7.2,,0,0,-6.6,3000,,328793,832220
494,1116817,ARI,SF,RB,Emari Demercado,0.44,0.79,,,,5.5,,0,0,-10.31,4000,,4715680,1116817
495,1290100,WAS,LV,WR,Ja'Corey Brooks,,0.0,,,,,,0,0,-8.75,3000,,8325627,1290100
496,835861,DEN,LAC,WR,Trent Sherfield Sr.,1.8,1.18,,,,6.6,,0,0,-6.95,3000,,328944,835861
497,976221,PHI,LAR,TE,Grant Calcaterra,1.49,0.4,,,,5.5,,0,0,-6.66,2700,,3491869,976221
498,1215927,HOU,JAX,TE,Luke Lachey,,0.0,,,,,,0,0,-7.75,2500,,8228594,1215927
499,1172752,NO,SEA,TE,Treyton Welch,,0.0,,,,,,0,0,-7.75,2500,,6227868,1172752
500,910562,LAC,DEN,QB,Justin Herbert,21.97,19.72,,,,32.4,12.1,0,0,3.82,6200,,1849725,910562
501,748554,IND,TEN,WR,Laquon Treadwell,,0.0,,,,,,0,0,-8.75,3000,,35473,748554
502,1161664,LAR,PHI,TE,Davis Allen,1.64,0.46,,,,5.7,,0,0,-6.31,2600,,4687936,1161664
503,503177,WAS,LV,TE,Zach Ertz,11.43,2.82,,,,18.0,5.8,0,0,0.28,4200,,16583,503177
504,1066811,LV,WAS,QB,Aidan O'Connell,,0.0,,,,,,0,0,-13.75,4000,,4687880,1066811
505,607864,NO,SEA,WR,Brandin Cooks,4.85,1.36,,,,10.5,1.1,0,0,-5.5,3800,,18281,607864
506,1074698,HOU,JAX,WR,Nico Collins,15.77,19.98,,,,24.2,8.3,0,0,-1.58,7300,,2861874,1074698
