"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"71","Jerry Jeudy","WR","CLV","9","WR33","71.0","211.3","15","14.09","6","0","0","0","0","0","-","-","-","120.1","80.2","1022.1","4.9","-","-","-","","-"
"72","Terry McLaurin","WR","WAS","12","WR18","39.1","210.6","15","14.04","6","0","0","0","0","0","0.6","2.4","0.0","104.7","72.8","997.4","6.4","-","-","-","-","-"
"73","Xavier Worthy","WR","KC","10","WR26","56.8","210.3","15","14.02","6","0","0","0","0","0","12.8","66.6","0.4","107.4","73.5","915.3","6.1","-","-","-","-","-"
"74","Tetairoa McMillan","WR","CAR","14","WR29","61.2","209.6","15","13.97","6","0","0","0","0","0","-","-","-","119.1","77.2","934.5","6.6","-","-","-","-",""
"75","Calvin Ridley","WR","TEN","10","WR34","75.0","208.7","15","13.91","6","0","0","0","0","0","6.5","39.8","0.1","114.6","67.7","1014.8","5.9","-","-","-","","-"
"76","George Pickens","WR","DAL","10","WR28","60.7","208.4","15","13.89","6","0","0","0","0","0","-","-","-","113.5","70.0","990.7","6.7","-","-","-","-","-"
"77","RJ Harvey","RB","DEN","12","RB23","62.9","208.3","15","13.89","6","0","0","0","0","0","176.7","800.7","5.2","59.1","49.4","366.1","2.1","-","-","-","-","-"
"78","Marvin Harrison Jr.","WR","ARZ","8","WR16","35.5","208.1","15","13.88","6","0","0","0","0","0","-","-","-","116.4","69.7","922.4","7.8","-","-","-","-","-"
"79","George Kittle","TE","SF","14","TE3","38.5","207.6","15","13.84","2","0","0","0","0","0","-","-","-","95.9","68.8","1026.4","6.1","-","-","-","-",""
"80","Zay Flowers","WR","BLT","7","WR25","53.5","201.4","15","13.43","7","0","0","0","0","0","7.4","46.4","0.2","103.0","68.4","952.3","5.4","-","-","-","-","-"
"81","Jameson Williams","WR","DET","8","WR27","59.4","201.1","15","13.40","7","0","0","0","0","0","11.9","109.4","0.4","94.6","59.6","949.1","5.6","-","-","-","-","-"
"82","David Montgomery","RB","DET","8","RB20","55.9","201.0","15","13.40","7","0","0","0","0","0","188.2","781.4","10.8","37.3","31.8","250.6","0.4","-","-","-","-","-"
