,Player,Pos,Team,Opp,Sal,Projection,Value,MainSlate,Ceiling100,LastUpdate
144,TJ Hockenson,TE,MIN,@TB,3200.0,8.8849,2.77653125,Y,84.0,2026-09-24 07:46:26 AM
145,Wan'Dale Robinson,WR,TEN,@NYG,4500.0,8.607800000000001,1.9128444444444448,Y,75.0,2026-09-24 07:46:26 AM
146,Tyler Bass,K,BUF,LAC,,8.81,,N,108.0,2026-09-24 07:46:26 AM
147,Evan McPherson,K,CIN,@PIT,,9.17,,N,121.0,2026-09-24 07:46:26 AM
148,RJ Harvey,RB,DEN,LA,,8.999999999999998,,N,76.0,2026-09-24 07:46:26 AM
149,Jacory Croskey-Merritt,RB,WAS,SEA,5300.0,8.37,1.579245283018868,Y,76.0,2026-09-24 07:46:26 AM
150,SEA DST,DST,SEA,@WAS,,8.35,,N,140.0,2026-09-24 07:46:26 AM
151,Ryan Fitzgerald,K,CAR,@CLE,,8.3,,N,113.0,2026-09-24 07:46:26 AM
152,Kyle Pitts,TE,ATL,@GB,,8.529599999999999,,N,82.0,2026-09-24 07:46:26 AM
153,Trey Smack,K,GB,ATL,,8.37,,N,107.0,2026-09-24 07:46:26 AM
154,Jake Elliott,K,PHI,@CHI,,8.14,,N,109.0,2026-09-24 07:46:26 AM
155,JK Dobbins,RB,DEN,LA,,8.44,,N,78.0,2026-09-24 07:46:26 AM
156,Andre Szmyt,K,CLE,CAR,,8.8,,N,114.0,2026-09-24 07:46:26 AM
157,Wil Lutz,K,DEN,LA,,8.59,,N,108.0,2026-09-24 07:46:26 AM
158,Daniel Carlson,K,NO,LV,,8.29,,N,104.0,2026-09-24 07:46:26 AM
159,Chase McLaughlin,K,TB,MIN,,8.89,,N,110.0,2026-09-24 07:46:26 AM
160,Mack Hollins,WR,NE,@JAX,4200.0,8.219100000000001,1.956928571428572,Y,75.0,2026-09-24 07:46:26 AM
161,Makai Lemon,WR,PHI,@CHI,,8.07,,N,74.0,2026-09-24 07:46:26 AM
162,Chris Godwin,WR,TB,MIN,5300.0,8.9406,1.6869056603773585,Y,72.0,2026-09-24 07:46:26 AM
163,Cam Little,K,JAX,NE,,8.61,,N,98.0,2026-09-24 07:46:26 AM
