,Player,Pos,Team,Week,Passing,Rushing,Receiving,xFP
212,Kyler Murray,QB,MIN,1,1.75,0.83,0.0,2.58
213,Kyren Williams,RB,LAR,1,0.0,7.81,4.27,12.079999999999998
214,LaJohntay Wester,WR,BAL,1,0.0,0.0,3.14,3.14
215,Ladd McConkey,WR,LAC,1,0.0,0.0,12.42,12.42
216,Lamar Jackson,QB,BAL,1,12.2,4.28,0.0,16.48
217,Laquon Treadwell,WR,IND,1,0.0,0.0,1.59,1.59
218,Luke Farrell,TE,SFO,1,0.0,0.0,2.7,2.7
219,Luke Schoonmaker,TE,DAL,1,0.0,0.0,1.64,1.64
220,Luther Burden,WR,CHI,1,0.0,0.56,8.14,8.700000000000001
221,Mack Hollins,WR,NWE,1,0.0,0.0,8.4,8.4
222,Makai Lemon,WR,PHI,1,0.0,0.0,5.38,5.38
223,Malachi Fields,WR,NYG,1,0.0,0.0,7.15,7.15
224,Malik Benson,WR,LVR,1,0.0,0.45,3.47,3.9200000000000004
225,Malik Nabers,WR,NYG,1,0.0,0.0,15.09,15.09
226,Malik Washington,WR,MIA,1,0.0,0.0,14.45,14.45
227,Malik Willis,QB,MIA,1,12.48,2.79,0.0,15.27
228,MarShawn Lloyd,RB,GNB,1,0.0,7.87,2.03,9.9
229,Mark Andrews,TE,BAL,1,0.0,0.0,9.47,9.47
230,Marlin Klein,TE,HOU,1,0.0,0.0,1.71,1.71
231,Marvin Harrison Jr.,WR,ARI,1,0.0,0.0,5.75,5.75
232,Mason Taylor,TE,NYJ,1,0.0,0.0,4.7,4.7
233,Matthew Golden,WR,GNB,1,0.0,0.0,20.71,20.71
234,Matthew Hibner,TE,BAL,1,0.0,0.0,1.6,1.6
235,Matthew Stafford,QB,LAR,1,11.48,1.44,0.0,12.92
236,Michael Mayer,TE,LVR,1,0.0,0.0,11.05,11.05
237,Michael Pittman Jr.,WR,PIT,1,0.0,0.0,4.88,4.88
238,Michael Wilson,WR,ARI,1,0.0,0.0,11.37,11.37
239,Mike Evans,WR,SFO,1,0.0,0.0,11.4,11.4
240,Mike Gesicki,TE,CIN,1,0.0,0.0,11.25,11.25
241,Mike Washington Jr.,DB,LVR,1,0.0,4.98,0.0,4.98
242,Mitchell Evans,TE,CAR,1,0.0,0.0,3.42,3.42
243,Nate Boerkircher,TE,JAX,1,0.0,0.0,1.42,1.42
244,Nico Collins,WR,HOU,1,0.0,0.78,18.27,19.05
245,Noah Fant,TE,NOR,1,0.0,0.0,12.64,12.64
246,Noah Gray,TE,KAN,1,0.0,0.0,1.79,1.79
247,Olamide Zaccheaus,WR,ATL,1,0.0,0.0,1.58,1.58
248,Omar Cooper Jr.,WR,NYJ,1,0.0,0.0,1.55,1.55
249,Omarion Hampton,RB,LAC,1,0.0,7.04,0.0,7.04
