,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
79,Jaylen Warren,PIT,BUF,RB,0.0,0,0,0.0,0.0,14.1,64.0,0.53,1.9,1.7,12.7,0.04,0.5700000000000001,2025-11-27 06:59:21 EST,FPts
80,Geno Smith,LVR,LAC,QB,32.0,21,203,1.06,0.99,3.2,11.5,0.04,-,-,-,0.0,0.04,2025-11-27 06:59:21 EST,FPts
81,Devin Neal,NOR,MIA,RB,0.0,0,0,0.0,0.0,9.9,36.2,0.13,5.5,4.8,30.6,0.07,0.2,2025-11-27 06:59:21 EST,FPts
82,Oronde Gadsden,LAC,LVR,TE,0.0,0,0,0.0,0.0,-,-,0.0,6.1,4.4,60.7,0.36,0.36,2025-11-27 06:59:21 EST,FPts
83,Kirk Cousins,ATL,NYJ,QB,32.0,20,199,1.13,0.38,1.6,3.9,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
84,Aaron Jones,MIN,SEA,RB,0.0,0,0,0.0,0.0,10.8,47.4,0.17,4.8,3.4,24.2,0.14,0.31000000000000005,2025-11-27 06:59:21 EST,FPts
85,Tyler Warren,IND,HOU,TE,0.0,0,0,0.0,0.0,0.2,0.3,0.03,6.1,4.8,56.0,0.27,0.30000000000000004,2025-11-27 06:59:21 EST,FPts
86,Courtland Sutton,DEN,WAS,WR,0.0,0,0,0.0,0.0,-,-,0.0,6.1,3.9,55.9,0.45,0.45,2025-11-27 06:59:21 EST,FPts
87,Stefon Diggs,NWE,NYG,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.7,4.2,55.6,0.37,0.37,2025-11-27 06:59:21 EST,FPts
88,Zach Ertz,WAS,DEN,TE,0.0,0,0,0.0,0.0,-,-,0.0,7.0,4.8,51.5,0.35,0.35,2025-11-27 06:59:21 EST,FPts
89,Rome Odunze,CHI,PHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.7,4.1,57.3,0.34,0.34,2025-11-27 06:59:21 EST,FPts
90,Xavier Worthy,KAN,DAL,WR,0.0,0,0,0.0,0.0,0.4,2.8,0.0,6.7,4.2,51.2,0.37,0.37,2025-11-27 06:59:21 EST,FPts
91,Woody Marks,HOU,IND,RB,0.0,0,0,0.0,0.0,15.5,56.4,0.39,2.6,2.0,15.9,0.04,0.43,2025-11-27 06:59:21 EST,FPts
92,Jauan Jennings,SF,CLE,WR,0.0,0,0,0.0,0.0,-,-,0.0,6.5,4.2,52.8,0.39,0.39,2025-11-27 06:59:21 EST,FPts
93,DK Metcalf,PIT,BUF,WR,0.0,0,0,0.0,0.0,0.3,1.6,0.0,6.2,3.9,51.8,0.41,0.41,2025-11-27 06:59:21 EST,FPts
94,Max Brosmer,MIN,SEA,QB,33.0,19,194,0.97,1.06,2.4,10.1,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
95,Jameson Williams,DET,GB,WR,0.0,0,0,0.0,0.0,0.2,1.6,0.0,5.6,3.5,58.0,0.36,0.36,2025-11-27 06:59:21 EST,FPts
96,Mark Andrews,BAL,CIN,TE,0.0,0,0,0.0,0.0,0.9,1.1,0.09,4.8,3.3,38.7,0.61,0.7,2025-11-27 06:59:21 EST,FPts
97,Romeo Doubs,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,6.3,4.0,50.7,0.41,0.41,2025-11-27 06:59:21 EST,FPts
98,Kyle Pitts,ATL,NYJ,TE,0.0,0,0,0.0,0.0,-,-,0.0,7.0,5.0,48.2,0.27,0.27,2025-11-27 06:59:21 EST,FPts
99,Kenneth Gainwell,PIT,BUF,RB,0.0,0,0,0.0,0.0,6.8,30.9,0.27,4.2,3.6,22.4,0.16,0.43000000000000005,2025-11-27 06:59:21 EST,FPts
100,Juwan Johnson,NOR,MIA,TE,0.0,0,0,0.0,0.0,-,-,0.0,6.3,4.6,51.4,0.27,0.27,2025-11-27 06:59:21 EST,FPts
101,Tre Tucker,LVR,LAC,WR,0.0,0,0,0.0,0.0,0.3,1.9,0.0,6.8,4.2,49.2,0.31,0.31,2025-11-27 06:59:21 EST,FPts
102,Brian Thomas,JAX,TEN,WR,0.0,0,0,0.0,0.0,-,-,0.0,6.8,4.0,52.8,0.33,0.33,2025-11-27 06:59:21 EST,FPts
103,Dalton Schultz,HOU,IND,TE,0.0,0,0,0.0,0.0,-,-,0.0,6.3,4.7,51.4,0.23,0.23,2025-11-27 06:59:21 EST,FPts
