Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Chris Myarick (41169772),Chris Myarick,41169772,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,Lew Nichols (41169704),Lew Nichols,41169704,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
RB,Alexander Mattison (41169705),Alexander Mattison,41169705,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,Jeff Wilson Jr. (41169706),Jeff Wilson Jr.,41169706,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,JaMycal Hasty (41169707),JaMycal Hasty,41169707,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
WR,Tyreek Hill (41169708),Tyreek Hill,41169708,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,14.12
WR,Dee Eskridge (41169709),Dee Eskridge,41169709,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.84
WR,Ke'Shawn Williams (41169710),Ke'Shawn Williams,41169710,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,PIT,-0.12
WR,Tahj Washington (41169711),Tahj Washington,41169711,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.28
WR,Theo Wease Jr. (41169712),Theo Wease Jr.,41169712,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
WR,John Rhys Plumlee (41169713),John Rhys Plumlee,41169713,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
WR,Max Hurleman (41169714),Max Hurleman,41169714,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
TE,Donald Parham Jr. (41169715),Donald Parham Jr.,41169715,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
TE,Matt Sokol (41169716),Matt Sokol,41169716,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
TE,Jalin Conyers (41169717),Jalin Conyers,41169717,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
TE,Tanner Conner (41169718),Tanner Conner,41169718,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,2.01
TE,Chris Myarick (41169719),Chris Myarick,41169719,FLEX,200,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
