,Name,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
18,Nicolas Batum,LAC,DAL,F,20.00000,5.89885,3.58147,1.27349,0.63584,0.41631,0.62796,2.14115,4.92042,43.5,1.08080,2.98340,36.2,0.53575,0.73701,72.7,0.44329,3.13817
19,Bradley Beal,LAC,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
20,Joan Beringer,MIN,SAC,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
21,Saddiq Bey,NOP,LAL,F,33.00000,15.54889,5.65630,2.92269,0.89257,0.13630,1.47252,5.26933,12.13025,43.4,2.30399,6.61231,34.8,2.70624,3.33109,81.2,1.50235,4.15394
22,Goga Bitadze,ORL,BKN,C,17.00000,8.57746,5.52953,1.31675,0.48260,0.84508,1.13471,3.12442,5.52319,56.6,0.47914,1.55260,30.9,1.84947,2.72742,67.8,2.76263,2.76689
23,Bismack Biyombo,SAS,GSW,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
24,Anthony Black,ORL,BKN,G,26.00000,12.76535,3.80325,3.89125,1.17390,0.65652,2.15324,4.41851,9.07491,48.7,1.07318,2.97592,36.1,2.85515,3.85168,74.1,0.97396,2.82929
25,Bogdan Bogdanovic,LAC,DAL,G,6.00000,2.89130,0.74819,0.65907,0.23417,0.04156,0.31627,1.05829,2.53087,41.8,0.48192,1.37304,35.1,0.29280,0.35690,82.0,0.09931,0.64888
26,Adem Bona,PHI,DET,C,15.00000,5.29614,4.17125,0.60630,0.31614,1.20999,0.95445,1.92395,3.08147,62.4,0.07800,0.23866,32.7,1.37024,1.85669,73.8,1.37854,2.79271
27,Mikal Bridges,NYK,MIA,F,34.00000,16.98485,4.21064,3.77737,1.07353,0.52063,1.78838,6.60942,14.33786,46.1,2.15226,6.31872,34.1,1.61375,1.94155,83.1,1.14553,3.06511
28,Miles Bridges,CHA,MIL,F,36.00000,20.56891,9.11494,3.36440,0.83496,0.97313,2.16112,7.28207,15.44773,47.1,2.03984,6.32728,32.2,3.96493,4.71693,84.1,1.68666,7.42828
29,Johni Broome,PHI,DET,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
30,Kobe Brown,LAC,DAL,F,8.00000,3.30944,1.02724,0.40936,0.19903,0.18112,0.43622,1.20968,2.92332,41.4,0.36447,1.10165,33.1,0.52561,0.68461,76.8,0.20826,0.81898
31,Jalen Brunson,NYK,MIA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
32,Carter Bryant,SAS,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
33,Jimmy Butler,GSW,SAS,F,33.00000,18.22929,5.91325,4.65066,1.32310,0.29919,1.77449,5.58482,11.62499,48.0,0.90594,2.37389,38.2,6.15370,7.28868,84.4,1.83192,4.08133
34,Jamal Cain,ORL,BKN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
35,Toumani Camara,POR,HOU,F,35.00000,15.03676,6.72078,3.00337,2.05757,0.50502,1.70765,5.44089,12.17725,44.7,2.34759,6.49497,36.1,1.80739,2.31870,77.9,2.64528,4.07550
36,Clint Capela,HOU,POR,C,9.00000,3.38630,3.16632,0.50711,0.19018,0.31749,0.43358,1.40351,2.51554,55.8,0.04523,0.11024,41.0,0.53405,0.77974,68.5,1.04850,2.11782
37,Dylan Cardwell,SAC,MIN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
38,Devin Carter,SAC,MIN,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
39,Wendell Carter Jr.,ORL,BKN,C,31.00000,14.01574,10.25064,2.51263,0.66266,0.73198,2.06038,5.07005,9.28437,54.6,1.05465,2.96346,35.6,2.82099,4.02533,70.1,3.01276,7.23787
40,Stephon Castle,SAS,GSW,G,34.00000,14.52318,5.73021,5.37657,1.32133,0.40568,2.80107,5.45349,12.62454,43.2,1.72482,5.55245,31.1,1.89137,2.36446,80.0,1.37512,4.35509
41,Colin Castleton,ORL,BKN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
42,Julian Champagnie,SAS,GSW,F,21.00000,7.85243,4.04083,1.46144,0.85291,0.25724,1.18263,2.63731,6.17775,42.7,1.66039,4.47758,37.1,0.91742,0.99813,91.9,1.00406,3.03678
43,Cam Christie,LAC,DAL,G,8.00000,2.14615,1.57428,1.01394,0.34728,0.05761,0.92639,0.85329,2.10276,40.6,0.18522,0.81826,22.6,0.25435,0.41509,61.3,0.68939,0.88488
44,Max Christie,DAL,LAC,G,30.00000,11.74846,3.71108,2.59852,1.06420,0.37530,1.76768,3.86878,9.25452,41.8,1.99646,5.34433,37.4,2.01444,2.37741,84.7,1.01048,2.70060
45,Moussa Cisse,DAL,LAC,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
46,Sidy Cissoko,POR,HOU,G,13.00000,3.54206,1.90810,1.08147,0.48948,0.01480,0.34571,1.22436,2.59333,47.2,0.36335,1.22314,29.7,0.72999,1.12622,64.8,1.04762,0.86048
47,Jaylen Clark,MIN,SAC,G,18.00000,5.48094,2.03311,1.73133,1.01554,0.10253,0.59934,1.90187,3.89371,48.8,0.51980,1.37281,37.9,1.15739,1.45493,79.5,0.83221,1.20090
48,Jordan Clarkson,NYK,MIA,G,22.00000,13.71534,3.44664,3.86301,0.81321,0.18190,2.15660,4.53608,11.51044,39.4,1.83442,5.75128,31.9,2.80877,3.26765,86.0,0.97895,2.46770
49,Nic Claxton,BKN,ORL,C,31.00000,13.95473,8.36113,2.65927,0.87528,1.18877,1.62104,5.63341,10.03072,56.2,0.17961,0.74312,24.2,2.50830,4.04819,62.0,2.64965,5.71148
50,Nique Clifford,SAC,MIN,G,18.00000,8.23509,3.41617,1.83309,0.65693,0.37396,1.35236,2.83044,6.56143,43.1,0.87100,2.48748,35.0,1.70320,2.11231,80.6,0.75255,2.66362
51,Donovan Clingan,POR,HOU,C,26.00000,10.42488,9.26713,2.13047,0.77105,1.37502,1.48248,4.20356,7.49419,56.1,0.39462,1.26197,31.3,1.62314,2.48930,65.2,3.12473,6.14240
52,Noah Clowney,BKN,ORL,F,30.00000,12.67326,5.69744,1.74766,0.73024,0.54352,1.49553,4.05655,9.61444,42.2,2.09068,5.81691,35.9,2.46949,2.92268,84.5,1.01938,4.67806
53,Amir Coffey,MIL,CHA,F,12.00000,4.55229,1.49567,1.04303,0.30583,0.10889,0.35241,1.59065,3.36986,47.2,0.73199,1.76576,41.5,0.63900,0.75928,84.2,0.25377,1.24190
54,John Collins,LAC,DAL,F,28.00000,15.43709,7.07486,1.50956,0.76097,0.77956,1.64441,5.88394,11.64523,50.5,1.30056,3.85079,33.8,2.36864,3.05239,77.6,1.46580,5.60906
55,Mike Conley,MIN,SAC,G,18.00000,6.36840,1.91663,2.93498,0.63708,0.18372,0.84429,2.21024,4.92436,44.9,1.12095,2.79503,40.1,0.82698,0.92668,89.2,0.34697,1.56966
56,Pat Connaughton,CHA,MIL,F,11.00000,3.43976,2.21462,0.98338,0.27009,0.15464,0.27259,1.19522,2.68194,44.6,0.59595,1.72672,34.5,0.45338,0.59475,76.2,0.44185,1.77277
57,Javonte Cooke,POR,HOU,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
58,Isaiah Crawford,HOU,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
59,Cade Cunningham,DET,PHI,G,37.00000,30.10971,6.64842,8.16769,1.20326,0.68962,4.14866,10.72319,23.18638,46.2,2.95139,8.33400,35.4,5.71194,6.85312,83.3,1.19652,5.45189
60,Stephen Curry,GSW,SAS,G,33.00000,23.28362,4.66207,5.19631,0.93761,0.34733,3.19334,7.56372,16.98016,44.5,3.72212,9.32188,39.9,4.43407,4.89697,90.5,0.52725,4.13482
61,Tristan da Silva,ORL,BKN,F,26.00000,10.58231,5.38936,2.37841,0.50597,0.33486,1.19998,3.69802,7.90361,46.8,1.29703,3.53484,36.7,1.88923,2.34407,80.6,1.17994,4.20942
62,Pacome Dadiet,NYK,MIA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
63,Anthony Davis,DAL,LAC,C,28.00000,17.03651,9.29859,3.46009,1.06050,1.29074,2.13007,6.29057,13.10141,48.0,0.84779,3.07288,27.6,3.60757,4.55348,79.2,2.30200,6.99659
64,JD Davison,HOU,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
65,Egor Demin,BKN,ORL,G,26.00000,11.26144,4.11362,4.45291,0.94316,0.19452,2.42906,4.06885,10.48644,38.8,1.70912,5.56460,30.7,1.41464,1.81119,78.1,0.84020,3.27342
66,DeMar DeRozan,SAC,MIN,F,32.00000,17.07151,3.95782,2.93569,0.82364,0.27315,1.19805,6.09003,13.30314,45.8,1.24692,3.58487,34.8,3.64453,4.32488,84.3,0.79032,3.16750
67,Moussa Diabate,CHA,MIL,C,29.00000,10.27976,12.32699,1.44906,0.90523,1.30192,1.55529,3.97384,6.60865,60.1,0.09896,0.39992,24.7,2.23313,3.46055,64.5,4.27736,8.04962
68,Mohamed Diawara,NYK,MIA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
