,Player,Team,Pos,Pass Comp,Pass Att,Pass Yards,Pass TD,Int,Rush Att,Rush Yards,Rush TD,Rec,Rec Yards,Rec TD
20,Aaron Rodgers,PIT,QB,305.0,475.67,3366.33,22.7,10.0,21.47,79.73,0.4,0.0,0.0,0.0
21,Matthew Stafford,LAR,QB,310.33,471.33,3452.67,22.03,9.6,26.47,38.07,0.83,0.0,0.0,0.0
22,Brock Purdy,SF,QB,310.0,466.67,3838.33,22.63,11.17,65.6,335.33,2.83,0.0,0.0,0.0
23,Josh Allen,BUF,QB,292.67,457.33,3324.33,24.87,6.87,102.93,516.53,8.13,0.0,0.0,0.0
24,Drake Maye,NWE,QB,299.67,453.67,3224.67,20.33,10.73,88.2,511.13,2.53,0.0,0.0,0.0
25,Jalen Hurts,PHI,QB,280.0,429.33,3274.67,19.93,7.37,131.47,622.4,9.97,0.0,0.0,0.0
26,Justin Fields,NYJ,QB,261.33,418.33,2820.33,15.1,10.13,113.4,645.13,4.6,0.0,0.0,0.0
27,Lamar Jackson,BAL,QB,273.33,413.67,3459.67,23.0,5.87,128.2,780.13,3.7,0.0,0.0,0.0
28,Tyler Shough,NOR,QB,197.33,332.67,2166.33,12.1,8.5,37.4,161.87,0.67,0.0,0.0,0.0
29,Jaxson Dart,NYG,QB,195.0,310.67,2138.67,12.17,7.43,49.87,261.27,1.57,0.0,0.0,0.0
30,Daniel Jones,IND,QB,168.33,265.33,1772.0,9.3,6.27,48.53,234.07,1.73,0.0,0.0,0.0
31,Anthony Richardson,IND,QB,137.67,251.0,1708.0,9.5,8.17,63.93,361.53,3.33,0.0,0.0,0.0
32,Joe Flacco,CLE,QB,158.0,247.67,1674.67,9.3,5.97,8.27,19.07,0.13,0.0,0.0,0.0
33,Russell Wilson,NYG,QB,138.67,222.33,1474.0,8.6,4.77,23.73,100.0,0.57,0.0,0.0,0.0
34,Dillon Gabriel,CLE,QB,128.67,207.67,1319.0,7.03,5.5,19.8,90.33,0.37,0.0,0.0,0.0
35,Spencer Rattler,NOR,QB,121.33,206.0,1283.67,6.93,4.87,18.4,100.33,0.33,0.0,0.0,0.0
36,Kenny Pickett,CLE,QB,95.0,160.0,976.0,5.6,4.9,13.0,42.0,0.3,0.0,0.0,0.0
37,Shedeur Sanders,CLE,QB,87.0,134.0,881.0,4.5,3.0,16.0,81.5,0.3,0.0,0.0,0.0
38,Jameis Winston,NYG,QB,57.0,93.0,601.0,3.5,2.7,7.0,20.0,0.2,0.0,0.0,0.0
39,Jimmy Garoppolo,LAR,QB,61.33,92.0,656.67,4.1,2.13,5.73,12.4,0.13,0.0,0.0,0.0
40,Zach Wilson,MIA,QB,50.67,83.33,525.33,3.17,2.47,6.93,31.53,0.17,0.0,0.0,0.0
41,Tyrod Taylor,NYJ,QB,49.0,80.0,515.0,3.0,2.5,8.0,27.0,0.2,0.0,0.0,0.0
42,Cooper Rush,BAL,QB,48.0,78.0,508.0,4.1,2.2,6.0,7.0,0.2,0.0,0.0,0.0
43,Mason Rudolph,PIT,QB,48.33,76.67,517.0,2.97,2.4,7.33,29.2,0.2,0.0,0.0,0.0
44,Jake Browning,CIN,QB,48.67,76.33,541.0,3.3,2.2,6.87,32.13,0.37,0.0,0.0,0.0
45,Gardner Minshew,KAN,QB,47.33,75.67,482.33,2.93,2.27,5.2,14.53,0.13,0.0,0.0,0.0
46,Sam Howell,MIN,QB,45.67,74.33,497.67,3.03,2.2,5.27,27.0,0.13,0.0,0.0,0.0
47,Andy Dalton,CAR,QB,48.0,74.0,481.0,2.93,2.03,4.87,16.0,0.1,0.0,0.0,0.0
48,Aidan O'Connell,LVR,QB,47.0,74.0,497.0,2.63,1.4,4.13,9.13,0.1,0.0,0.0,0.0
49,Kyle Trask,TB,QB,45.67,73.0,502.67,3.0,2.17,5.73,20.33,0.1,0.0,0.0,0.0
50,Nick Mullens,JAX,QB,47.0,72.67,502.33,2.93,2.17,4.33,13.0,0.1,0.0,0.0,0.0
51,Davis Mills,HOU,QB,45.0,72.0,476.0,2.97,2.17,3.93,12.87,0.1,0.0,0.0,0.0
52,Marcus Mariota,WAS,QB,46.67,72.0,508.33,3.27,1.47,10.27,49.2,0.23,0.0,0.0,0.0
53,Joe Milton III,DAL,QB,45.0,71.33,481.0,2.7,2.13,10.07,39.33,0.7,0.0,0.0,0.0
54,Jarrett Stidham,DEN,QB,44.33,71.33,462.33,3.03,2.1,7.2,32.53,0.13,0.0,0.0,0.0
55,Kirk Cousins,ATL,QB,47.33,70.67,530.67,2.87,2.0,2.4,3.87,0.03,0.0,0.0,0.0
56,Mac Jones,SF,QB,45.33,70.33,495.33,2.93,2.07,7.07,25.6,0.23,0.0,0.0,0.0
57,Jacoby Brissett,ARZ,QB,42.67,70.0,417.33,2.5,1.4,5.07,22.33,0.13,0.0,0.0,0.0
58,Tyson Bagent,CHI,QB,44.33,69.33,464.33,2.73,2.1,6.33,32.73,0.13,0.0,0.0,0.0
59,Hendon Hooker,DET,QB,42.67,66.33,456.0,3.07,1.3,7.53,28.53,0.13,0.0,0.0,0.0
60,Stetson Bennett,LAR,QB,39.0,65.0,444.0,3.2,1.9,7.0,30.0,0.2,0.0,0.0,0.0
61,Mitch Trubisky,BUF,QB,42.67,64.33,426.0,2.93,2.03,5.07,19.27,0.17,0.0,0.0,0.0
62,Brandon Allen,TEN,QB,38.33,64.33,409.33,2.3,2.03,3.13,14.47,0.07,0.0,0.0,0.0
63,Tanner McKee,PHI,QB,41.67,64.0,463.67,2.97,1.33,5.53,13.87,0.1,0.0,0.0,0.0
64,Joshua Dobbs,NWE,QB,40.67,63.67,419.0,2.57,2.1,8.13,37.67,0.2,0.0,0.0,0.0
65,Jalen Milroe,SEA,QB,38.0,63.0,406.33,2.43,2.03,12.53,76.0,0.3,0.0,0.0,0.0
66,Taylor Heinicke,LAC,QB,38.0,62.33,416.0,2.53,1.33,6.53,30.0,0.2,0.0,0.0,0.0
67,Riley Leonard,IND,QB,34.0,55.0,377.0,2.4,1.7,6.0,27.0,0.2,0.0,0.0,0.0
68,Malik Willis,GB,QB,35.0,55.0,392.67,2.43,1.4,9.47,55.93,0.27,0.0,0.0,0.0
69,Jake Haener,NOR,QB,30.0,51.0,332.0,2.0,1.4,5.0,19.0,0.1,0.0,0.0,0.0
70,Tim Boyle,TEN,QB,23.0,40.0,239.0,1.6,1.3,2.0,6.0,0.0,0.0,0.0,0.0
