,Player,Pos,Team,Opp,Sal,Projection,Value,MainSlate
233,Roman Wilson,WR,PIT,@NE,3200.0,5.699999999999999,1.7812499999999998,Y
234,DAL DST,DST,DAL,WAS,,6.1899999999999995,,N
235,Mike Gesicki,TE,CIN,@HOU,3600.0,5.9352,1.6486666666666667,Y
236,Brian Robinson,RB,ATL,CAR,4700.0,5.59,1.1893617021276595,Y
237,Devontez Walker,WR,BAL,NO,3400.0,5.29,1.5558823529411765,Y
238,Jonathon Brooks,RB,CAR,@ATL,4800.0,5.95,1.2395833333333335,Y
239,Chris Rodriguez,RB,JAX,@DEN,5100.0,5.65,1.107843137254902,Y
240,Malachi Fields,WR,NYG,@LA,,5.859999999999999,,N
241,ARI DST,DST,ARI,SEA,,5.45,,N
242,Tyquan Thornton,WR,KC,IND,,5.49,,N
243,CIN DST,DST,CIN,@HOU,,5.9799999999999995,,N
244,TEN DST,DST,TEN,PHI,,5.69,,N
245,Kalif Raymond,WR,CHI,MIN,3600.0,5.8104,1.6139999999999999,Y
246,Antonio Williams,WR,WAS,@DAL,4400.0,4.8656999999999995,1.105840909090909,Y
247,Bryce Lance,WR,NO,@BAL,3200.0,5.829999999999999,1.8218749999999997,Y
248,LV DST,DST,LV,@LAC,,5.629999999999999,,N
249,Jahan Dotson,WR,ATL,CAR,3400.0,5.31,1.561764705882353,Y
250,JAX DST,DST,JAX,@DEN,,5.48,,N
251,Samaje Perine,RB,CIN,@HOU,4400.0,5.569999999999999,1.2659090909090907,Y
252,Andrei Iosivas,WR,CIN,@HOU,3100.0,5.09,1.6419354838709677,Y
253,Terrance Ferguson,TE,LA,NYG,,5.3,,N
254,CLE DST,DST,CLE,@TB,,5.120000000000001,,N
255,Jauan Jennings,WR,MIN,@CHI,3800.0,5.23,1.3763157894736844,Y
256,Kenyon Sadiq,TE,NYJ,GB,3800.0,5.5007,1.4475526315789475,Y
257,BUF DST,DST,BUF,DET,,4.92,,N
258,Xavier Legette,WR,CAR,@ATL,3400.0,5.1899999999999995,1.526470588235294,Y
259,Darren Waller,TE,CAR,@ATL,3100.0,4.91,1.5838709677419356,Y
260,Oronde Gadsden,TE,LAC,LV,3500.0,4.67,1.3342857142857143,Y
261,Cole Kmet,TE,CHI,MIN,3000.0,4.9,1.6333333333333335,Y
262,NYJ DST,DST,NYJ,GB,,4.52,,N
263,Alvin Kamara,RB,NO,@BAL,4600.0,4.7292,1.0280869565217392,Y
264,Isaac TeSlaa,WR,DET,@BUF,,4.64,,N
265,Darnell Mooney,WR,NYG,@LA,,5.119999999999999,,N
266,IND DST,DST,IND,@KC,,5.09,,N
267,Chris Bell,WR,MIA,@SF,3500.0,4.78,1.3657142857142859,Y
268,MIN DST,DST,MIN,@CHI,,4.32,,N
269,WAS DST,DST,WAS,@DAL,,4.379999999999999,,N
270,DeeJay Dallas,RB,MIN,@CHI,4000.0,4.19,1.0475,Y
271,Calvin Ridley,WR,TEN,PHI,4100.0,4.79,1.1682926829268294,Y
272,Ben Sinnott,TE,WAS,@DAL,2900.0,4.550000000000001,1.5689655172413797,Y
273,Dawson Knox,TE,BUF,DET,,4.209999999999999,,N
274,Kendre Miller,RB,NO,@BAL,4500.0,4.09,0.9088888888888889,Y
275,NO DST,DST,NO,@BAL,,3.99,,N
276,LaJohntay Wester,WR,BAL,NO,3100.0,3.09,0.996774193548387,Y
277,Elic Ayomanor,WR,TEN,PHI,3500.0,4.2,1.2,Y
278,Keon Coleman,WR,BUF,DET,,4.34,,N
279,Tommy Tremble,TE,CAR,@ATL,2600.0,4.039999999999999,1.5538461538461534,Y
280,Emmett Johnson,RB,KC,IND,,4.52,,N
281,Isaiah Williams,WR,NYJ,GB,3300.0,4.369999999999999,1.324242424242424,Y
282,John Bates,TE,WAS,@DAL,2700.0,3.6999999999999997,1.3703703703703702,Y
283,DET DST,DST,DET,@BUF,,4.23,,N
284,NYG DST,DST,NYG,@LA,,3.9,,N
285,Sione Vaki,RB,DET,@BUF,,3.59,,N
286,Foster Moreau,TE,HOU,CIN,2700.0,3.4000000000000004,1.2592592592592593,Y
287,Noah Fant,TE,NO,@BAL,3400.0,3.7,1.0882352941176472,Y
288,Noah Gray,TE,KC,IND,,3.51,,N
289,Mike Washington Jr.,RB,LV,@LAC,4300.0,3.5632,0.8286511627906977,Y
290,Theo Johnson,TE,NYG,@LA,,3.4499999999999997,,N
291,Darnell Washington,TE,PIT,@NE,2900.0,3.9280000000000004,1.3544827586206898,Y
292,Ted Hurst,WR,TB,CLE,,3.38,,N
293,MIA DST,DST,MIA,@SF,,3.29,,N
294,Jonnu Smith,TE,GB,@NYJ,2900.0,3.47,1.196551724137931,Y
295,Jared Wayne,WR,HOU,CIN,3000.0,3.41,1.1366666666666667,Y
296,Derius Davis,WR,LAC,LV,3000.0,3.3200000000000003,1.1066666666666667,Y
297,Marvin Mims,WR,DEN,JAX,3700.0,3.15,0.8513513513513513,Y
298,Charlie Kolar,TE,LAC,LV,2700.0,3.5600000000000005,1.3185185185185186,Y
299,Dyami Brown,WR,WAS,@DAL,3000.0,3.4400000000000004,1.1466666666666667,Y
300,Chris Moore,WR,BAL,NO,3300.0,2.4699999999999998,0.7484848484848484,Y
301,Josh Oliver,TE,MIN,@CHI,2500.0,2.89,1.1560000000000001,Y
302,Luke Farrell,TE,SF,MIA,2500.0,2.98,1.192,Y
